News Story|Category|Rating Change|World State Change |Bullshit Change|Index|Dependencies
Nicholas Cage Ravages Mexico|Headliner|20|-5,-5,-5,-5,-5,-5,-5,-5|0|1|
U.S. Mint to get rid of all coins but pennies|Headliner|-20|-4,-4,-4,-4,-4,-4,-4,-4|1|2|
U.S. Soldier found on Ulawa Island, thinks World War II is still going on|Headliner|20|-3,-3,-3,-3,-3,-3,-3,-3|6|3|
Faux New accused of being too informative|Headliner|-15|-2,-2,-2,-2,-2,-2,-2,-2|1|4|
Study finds 90s werent 10 years ago|Filler|5|-1,-1,-1,-1,-1,-1,-1,-1|-3|5|
Yu-Gi-Oh Game won with Time Wizard|Filler|-15|0,0,0,0,0,0,0,0|-4|6|
Study finds Bulbasaur best starter|Filler|-3|1,1,1,1,1,1,1,1|-4|7|
Germany takes over EU, creates Socialist Worker State|Headliner|-20|2,2,2,2,2,2,2,2|8|8|
Carl XVI Gustaf celebrates birthday with Turkey hat|Celebrity gossip|10|3,3,3,3,3,3,3,3|-3|9|
Discovery Channel accidently airs 36 hours of elephant porn|Headliner|20|4,4,4,4,4,4,4,4|1|10|
Research proves Darth Vader might be Luke Skywalkers father|Filler|0|5,5,5,5,5,5,5,5,|-2|11|
Werner Herzog to narrate Harry Potter spinoff Fantastic Beasts and Where to Find Them|Filler|-5|4,4,4,4,4,4,4,4|0|12|
Benedict Cumberbatch learns to poach an egg and rhinoceroses|Celebrity gossip|20|3,3,3,3,3,3,3,3|-6|13|
EA releases pre-order bonuses for unannounced game|Filler|-20|2,2,2,2,2,2,2,2|-2|14|
Eminem discovered to not be full of chocolate|Celebrity gossip|15|1,1,1,1,1,1,1,1|-7|15|
Rick Allen regains left arm in exchange for legs|Celebrity gossip|10|0,0,0,0,0,0,0,0|-1|16|
Seal (singer) attacked by shark while vacationing in Hawaii|Celebrity gossip|5|-1,-1,-1,-1,-1,-1,-1,-1|4|17|
Kanye West thanks self in acceptance speech|Celebrity gossip|10|-2,-2,-2,-2,-2,-2,-2,-2|2|18|
Peter Jackson to release 6 movie series adapted from the Silmarillion|Filler|-15|-3,-3,-3,-3,-3,-3,-3,-3|2|19|
